-0.044,-0.038,0.056,-0.109,-0.05,-0.072,-0.047,-0.099,-0.064,-0.047
-0.059,-0.031,0.054,-0.096,-0.066,-0.063,-0.038,-0.088,-0.073,-0.036
-0.073,-0.026,0.048,-0.084,-0.082,-0.054,-0.029,-0.075,-0.076,-0.026
-0.089,-0.028,0.038,-0.071,-0.096,-0.042,-0.025,-0.063,-0.075,-0.021
-0.104,-0.034,0.023,-0.06,-0.109,-0.032,-0.023,-0.054,-0.068,-0.021
-0.113,-0.046,0.004,-0.052,-0.117,-0.023,-0.028,-0.047,-0.059,-0.026
-0.121,-0.063,-0.015,-0.048,-0.12,-0.018,-0.038,-0.046,-0.047,-0.038
-0.124,-0.08,-0.033,-0.05,-0.119,-0.018,-0.052,-0.05,-0.034,-0.052
-0.123,-0.096,-0.049,-0.058,-0.113,-0.025,-0.068,-0.059,-0.023,-0.07
-0.117,-0.109,-0.059,-0.068,-0.104,-0.036,-0.086,-0.07,-0.013,-0.086
-0.109,-0.12,-0.063,-0.082,-0.092,-0.052,-0.1,-0.082,-0.008,-0.1
-0.096,-0.124,-0.063,-0.094,-0.08,-0.07,-0.113,-0.094,-0.007,-0.113
-0.084,-0.124,-0.059,-0.104,-0.068,-0.088,-0.121,-0.105,-0.013,-0.12
-0.07,-0.12,-0.05,-0.112,-0.057,-0.104,-0.124,-0.112,-0.025,-0.121
-0.059,-0.111,-0.041,-0.117,-0.049,-0.115,-0.123,-0.115,-0.041,-0.12
-0.05,-0.1,-0.03,-0.116,-0.044,-0.123,-0.118,-0.114,-0.059,-0.112
-0.047,-0.089,-0.019,-0.113,-0.044,-0.126,-0.109,-0.11,-0.078,-0.102
-0.049,-0.076,-0.01,-0.105,-0.049,-0.125,-0.099,-0.101,-0.092,-0.091
-0.057,-0.065,-0.005,-0.094,-0.059,-0.12,-0.086,-0.089,-0.104,-0.078
-0.067,-0.056,-0.005,-0.081,-0.07,-0.112,-0.072,-0.077,-0.11,-0.066
-0.08,-0.05,-0.01,-0.068,-0.083,-0.1,-0.061,-0.063,-0.113,-0.055
-0.091,-0.05,-0.021,-0.055,-0.093,-0.088,-0.053,-0.05,-0.111,-0.047
-0.1,-0.055,-0.038,-0.042,-0.102,-0.075,-0.047,-0.039,-0.105,-0.044
-0.107,-0.065,-0.055,-0.034,-0.109,-0.064,-0.049,-0.033,-0.096,-0.046
-0.11,-0.076,-0.074,-0.03,-0.11,-0.057,-0.057,-0.03,-0.084,-0.055
-0.11,-0.088,-0.091,-0.03,-0.109,-0.054,-0.067,-0.032,-0.071,-0.066
-0.106,-0.099,-0.104,-0.036,-0.102,-0.056,-0.08,-0.04,-0.06,-0.08
-0.098,-0.109,-0.112,-0.046,-0.092,-0.063,-0.092,-0.052,-0.049,-0.092
-0.088,-0.113,-0.117,-0.06,-0.081,-0.071,-0.102,-0.067,-0.042,-0.104
-0.075,-0.116,-0.115,-0.075,-0.068,-0.083,-0.11,-0.083,-0.039,-0.112
-0.062,-0.115,-0.11,-0.091,-0.054,-0.094,-0.115,-0.097,-0.042,-0.117
-0.047,-0.109,-0.102,-0.104,-0.041,-0.104,-0.117,-0.11,-0.05,-0.118
-0.037,-0.099,-0.092,-0.113,-0.03,-0.11,-0.112,-0.12,-0.063,-0.115
-0.028,-0.088,-0.08,-0.121,-0.023,-0.113,-0.105,-0.125,-0.076,-0.107
-0.023,-0.075,-0.067,-0.123,-0.021,-0.113,-0.094,-0.126,-0.089,-0.096
-0.023,-0.06,-0.057,-0.121,-0.025,-0.109,-0.081,-0.125,-0.1,-0.083
-0.03,-0.047,-0.049,-0.117,-0.034,-0.102,-0.067,-0.119,-0.11,-0.068
-0.039,-0.037,-0.046,-0.11,-0.046,-0.091,-0.054,-0.11,-0.113,-0.055
-0.054,-0.03,-0.047,-0.1,-0.062,-0.078,-0.04,-0.1,-0.115,-0.042
-0.069,-0.028,-0.055,-0.089,-0.078,-0.063,-0.031,-0.089,-0.112,-0.033
-0.085,-0.03,-0.066,-0.076,-0.092,-0.05,-0.025,-0.076,-0.104,-0.028
-0.098,-0.038,-0.078,-0.067,-0.104,-0.038,-0.024,-0.067,-0.092,-0.028
-0.109,-0.049,-0.09,-0.059,-0.113,-0.03,-0.03,-0.06,-0.081,-0.033
-0.115,-0.065,-0.1,-0.055,-0.118,-0.025,-0.039,-0.058,-0.067,-0.044
-0.118,-0.08,-0.109,-0.055,-0.12,-0.025,-0.052,-0.06,-0.054,-0.059
-0.117,-0.094,-0.113,-0.059,-0.118,-0.033,-0.068,-0.065,-0.042,-0.075
-0.113,-0.105,-0.113,-0.067,-0.113,-0.043,-0.084,-0.074,-0.034,-0.09
-0.104,-0.115,-0.109,-0.078,-0.105,-0.059,-0.097,-0.084,-0.03,-0.104
-0.095,-0.12,-0.102,-0.088,-0.096,-0.073,-0.109,-0.094,-0.031,-0.115
-0.084,-0.12,-0.092,-0.097,-0.085,-0.088,-0.117,-0.101,-0.038,-0.123
-0.072,-0.117,-0.081,-0.104,-0.075,-0.101,-0.121,-0.107,-0.05,-0.126
-0.062,-0.112,-0.067,-0.107,-0.067,-0.112,-0.121,-0.107,-0.065,-0.125
-0.055,-0.102,-0.054,-0.105,-0.062,-0.118,-0.118,-0.104,-0.081,-0.121
-0.05,-0.092,-0.041,-0.099,-0.06,-0.121,-0.112,-0.094,-0.096,-0.114
-0.05,-0.081,-0.033,-0.088,-0.063,-0.121,-0.104,-0.081,-0.11,-0.105
-0.056,-0.071,-0.028,-0.071,-0.069,-0.117,-0.093,-0.063,-0.12,-0.096
-0.064,-0.062,-0.028,-0.054,-0.079,-0.109,-0.083,-0.042,-0.126,-0.085
-0.073,-0.056,-0.034,-0.034,-0.088,-0.1,-0.074,-0.021,-0.129,-0.078
-0.083,-0.055,-0.044,-0.014,-0.097,-0.091,-0.067,-0.002,-0.128,-0.071
-0.091,-0.057,-0.059,0.003,-0.104,-0.081,-0.065,0.015,-0.124,-0.068
-0.097,-0.063,-0.073,0.018,-0.109,-0.072,-0.067,0.029,-0.117,-0.07
-0.099,-0.071,-0.088,0.03,-0.109,-0.066,-0.073,0.04,-0.109,-0.075
-0.096,-0.082,-0.102,0.041,-0.105,-0.063,-0.081,0.048,-0.097,-0.084
-0.088,-0.091,-0.113,0.048,-0.096,-0.065,-0.092,0.054,-0.088,-0.094
-0.075,-0.097,-0.12,0.054,-0.083,-0.071,-0.101,0.059,-0.08,-0.104
-0.059,-0.1,-0.123,0.06,-0.065,-0.08,-0.11,0.064,-0.073,-0.113
-0.039,-0.099,-0.121,0.067,-0.046,-0.089,-0.115,0.07,-0.071,-0.118
-0.02,-0.094,-0.117,0.074,-0.026,-0.099,-0.117,0.077,-0.072,-0.12
-0.002,-0.085,-0.111,0.083,-0.009,-0.107,-0.114,0.085,-0.08,-0.117
0.016,-0.071,-0.102,0.094,0.008,-0.112,-0.109,0.095,-0.088,-0.109
0.03,-0.054,-0.092,0.106,0.022,-0.113,-0.096,0.107,-0.098,-0.096
0.041,-0.033,-0.081,0.117,0.034,-0.11,-0.08,0.118,-0.108,-0.08
0.051,-0.013,-0.071,0.131,0.043,-0.102,-0.06,0.132,-0.115,-0.059
0.057,0.004,-0.065,0.143,0.05,-0.089,-0.039,0.144,-0.12,-0.038
0.064,0.02,-0.062,0.156,0.056,-0.073,-0.02,0.157,-0.12,-0.017
0.07,0.034,-0.062,0.166,0.062,-0.054,-0.002,0.167,-0.117,0.002
0.075,0.045,-0.067,0.176,0.07,-0.033,0.014,0.178,-0.107,0.017
0.083,0.054,-0.075,0.184,0.078,-0.013,0.027,0.185,-0.093,0.03
0.092,0.059,-0.084,0.19,0.088,0.004,0.038,0.19,-0.075,0.04
0.103,0.065,-0.094,0.191,0.099,0.02,0.046,0.19,-0.055,0.048
0.114,0.07,-0.102,0.19,0.111,0.033,0.053,0.186,-0.034,0.053
0.125,0.075,-0.109,0.184,0.124,0.043,0.059,0.178,-0.013,0.059
0.138,0.084,-0.11,0.173,0.138,0.05,0.066,0.167,0.005,0.066
0.149,0.092,-0.107,0.159,0.151,0.056,0.073,0.151,0.02,0.074
0.16,0.102,-0.1,0.141,0.163,0.062,0.083,0.134,0.032,0.082
0.17,0.114,-0.088,0.124,0.173,0.069,0.094,0.115,0.042,0.093
0.178,0.125,-0.071,0.107,0.183,0.076,0.106,0.099,0.049,0.105
0.185,0.138,-0.05,0.093,0.189,0.085,0.118,0.086,0.056,0.117
0.189,0.151,-0.031,0.082,0.192,0.095,0.131,0.075,0.061,0.132
0.19,0.162,-0.012,0.074,0.192,0.106,0.144,0.068,0.069,0.144
0.187,0.173,0.006,0.068,0.188,0.119,0.157,0.064,0.077,0.157
0.179,0.182,0.021,0.064,0.178,0.132,0.169,0.062,0.086,0.168
0.167,0.187,0.033,0.064,0.165,0.144,0.178,0.062,0.098,0.177
0.151,0.19,0.045,0.063,0.149,0.156,0.186,0.062,0.111,0.185
0.132,0.19,0.053,0.062,0.132,0.167,0.191,0.062,0.124,0.188
0.114,0.186,0.059,0.06,0.113,0.176,0.192,0.061,0.138,0.19
0.098,0.177,0.064,0.056,0.097,0.183,0.19,0.054,0.149,0.187
0.083,0.162,0.07,0.045,0.085,0.188,0.183,0.043,0.161,0.18
0.072,0.146,0.078,0.028,0.075,0.19,0.172,0.025,0.172,0.169
0.066,0.128,0.088,0.005,0.069,0.186,0.157,0.001,0.18,0.154
0.061,0.11,0.098,-0.023,0.066,0.178,0.14,-0.028,0.186,0.136
0.059,0.095,0.11,-0.051,0.063,0.167,0.121,-0.057,0.19,0.119
0.059,0.082,0.122,-0.076,0.062,0.152,0.104,-0.081,0.19,0.102
0.061,0.072,0.135,-0.097,0.062,0.134,0.09,-0.1,0.185,0.088
0.061,0.066,0.147,-0.112,0.061,0.115,0.079,-0.115,0.177,0.077
0.06,0.062,0.159,-0.121,0.057,0.099,0.07,-0.123,0.164,0.069
0.054,0.061,0.169,-0.125,0.049,0.086,0.067,-0.126,0.148,0.066
0.044,0.061,0.178,-0.123,0.036,0.076,0.064,-0.123,0.13,0.064
0.024,0.061,0.186,-0.117,0.016,0.069,0.064,-0.117,0.111,0.064
-0.001,0.06,0.19,-0.109,-0.01,0.066,0.064,-0.109,0.096,0.064
-0.029,0.056,0.191,-0.097,-0.038,0.063,0.064,-0.097,0.083,0.064
-0.057,0.048,0.188,-0.086,-0.065,0.064,0.062,-0.087,0.074,0.062
-0.081,0.033,0.182,-0.076,-0.088,0.064,0.057,-0.078,0.067,0.057
-0.101,0.012,0.169,-0.07,-0.106,0.064,0.047,-0.071,0.064,0.047
-0.116,-0.017,0.152,-0.067,-0.118,0.062,0.03,-0.071,0.062,0.028
-0.124,-0.044,0.134,-0.071,-0.123,0.057,0.006,-0.08,0.062,0.005
-0.127,-0.071,0.115,-0.084,-0.124,0.045,-0.021,-0.094,0.064,-0.023
-0.125,-0.094,0.099,-0.102,-0.12,0.027,-0.049,-0.114,0.064,-0.05
-0.12,-0.112,0.085,-0.123,-0.113,0.003,-0.075,-0.134,0.061,-0.076
-0.11,-0.122,0.074,-0.143,-0.104,-0.026,-0.096,-0.15,0.056,-0.097
-0.1,-0.128,0.068,-0.158,-0.092,-0.055,-0.11,-0.163,0.043,-0.112
-0.089,-0.127,0.064,-0.168,-0.083,-0.08,-0.118,-0.17,0.024,-0.121
-0.08,-0.123,0.062,-0.172,-0.075,-0.099,-0.12,-0.171,-0.002,-0.125
